"Date","Country","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths","Total Hospital cases","Total cured"
"2020-03-03 21:00:00","Spain","Andalucía",13,0.15,1,0,0,0
"2020-03-03 21:00:00","Spain","Aragón",0,0.0,0,0,0,0
"2020-03-03 21:00:00","Spain","Asturias",2,0.2,1,0,0,0
"2020-03-03 21:00:00","Spain","Baleares",5,0.43,0,0,0,0
"2020-03-03 21:00:00","Spain","Canarias",7,0.33,0,0,0,0
"2020-03-03 21:00:00","Spain","Cantabria",10,1.72,0,0,0,0
"2020-03-03 21:00:00","Spain","Castilla La Mancha",12,0.59,1,0,0,0
"2020-03-03 21:00:00","Spain","Castilla y León",11,0.46,1,0,0,0
"2020-03-03 21:00:00","Spain","Cataluña",15,0.2,0,0,0,0
"2020-03-03 21:00:00","Spain","Ceuta",0,0.0,0,0,0,0
"2020-03-03 21:00:00","Spain","Comunidad Valenciana",19,0.38,0,1,0,0
"2020-03-03 21:00:00","Spain","Extremadura",6,0.56,0,0,0,0
"2020-03-03 21:00:00","Spain","Galicia",1,0.04,0,0,0,0
"2020-03-03 21:00:00","Spain","Madrid",70,1.05,2,0,0,0
"2020-03-03 21:00:00","Spain","Melilla",0,0.0,0,0,0,0
"2020-03-03 21:00:00","Spain","Murcia",0,0.0,0,0,0,0
"2020-03-03 21:00:00","Spain","Navarra",3,0.46,1,0,0,0
"2020-03-03 21:00:00","Spain","País Vasco",17,0.77,0,0,0,0
"2020-03-03 21:00:00","Spain","La Rioja",7,2.21,0,0,0,0
"2020-03-04 21:00:00","Spain","Andalucía",12,0.14,1,0,0,0
"2020-03-04 21:00:00","Spain","Aragón",1,0.08,1,0,0,0
"2020-03-04 21:00:00","Spain","Asturias",5,0.49,2,0,0,0
"2020-03-04 21:00:00","Spain","Baleares",6,0.52,0,0,0,0
"2020-03-04 21:00:00","Spain","Canarias",8,0.37,0,0,0,0
