"Date","Country","Region","Total ICU cases","Total Hospital cases","New cases","Total cured","Total deaths","Total confirmed cases","Total tests"
"2020-02-24T18:00:00","Italy","Abruzzo",0,0,0,0,0,0,5
"2020-02-24T18:00:00","Italy","Basilicata",0,0,0,0,0,0,0
"2020-02-24T18:00:00","Italy","P.A. Bolzano",0,0,0,0,0,0,1
"2020-02-24T18:00:00","Italy","Calabria",0,0,0,0,0,0,1
"2020-02-24T18:00:00","Italy","Campania",0,0,0,0,0,0,10
"2020-02-24T18:00:00","Italy","Emilia-Romagna",2,12,18,0,0,18,148
"2020-02-24T18:00:00","Italy","Friuli Venezia Giulia",0,0,0,0,0,0,58
"2020-02-24T18:00:00","Italy","Lazio",1,2,2,1,0,3,124
"2020-02-24T18:00:00","Italy","Liguria",0,0,0,0,0,0,1
"2020-02-24T18:00:00","Italy","Lombardia",19,95,166,0,6,172,1463
"2020-02-24T18:00:00","Italy","Marche",0,0,0,0,0,0,16
"2020-02-24T18:00:00","Italy","Molise",0,0,0,0,0,0,0
"2020-02-24T18:00:00","Italy","Piemonte",0,2,3,0,0,3,141
"2020-02-24T18:00:00","Italy","Puglia",0,0,0,0,0,0,0
"2020-02-24T18:00:00","Italy","Sardegna",0,0,0,0,0,0,1
"2020-02-24T18:00:00","Italy","Sicilia",0,0,0,0,0,0,5
"2020-02-24T18:00:00","Italy","Toscana",0,0,0,0,0,0,140
"2020-02-24T18:00:00","Italy","P.A. Trento",0,0,0,0,0,0,3
"2020-02-24T18:00:00","Italy","Umbria",0,0,0,0,0,0,0
"2020-02-24T18:00:00","Italy","Valle d'Aosta",0,0,0,0,0,0,7
"2020-02-24T18:00:00","Italy","Veneto",4,16,32,0,1,33,2200
"2020-02-25T18:00:00","Italy","Abruzzo",0,0,0,0,0,0,5
"2020-02-25T18:00:00","Italy","Basilicata",0,0,0,0,0,0,0
"2020-02-25T18:00:00","Italy","P.A. Bolzano",0,1,1,0,0,1,1
"2020-02-25T18:00:00","Italy","Calabria",0,0,0,0,0,0,2
"2020-02-25T18:00:00","Italy","Campania",0,0,0,0,0,0,10
"2020-02-25T18:00:00","Italy","Emilia-Romagna",2,17,8,0,0,26,391
"2020-02-25T18:00:00","Italy","Friuli Venezia Giulia",0,0,0,0,0,0,89
"2020-02-25T18:00:00","Italy","Lazio",1,2,0,1,0,3,124
"2020-02-25T18:00:00","Italy","Liguria",0,1,1,0,0,1,39
"2020-02-25T18:00:00","Italy","Lombardia",25,104,68,0,9,240,3700
"2020-02-25T18:00:00","Italy","Marche",0,0,0,0,0,0,21
"2020-02-25T18:00:00","Italy","Molise",0,0,0,0,0,0,0
"2020-02-25T18:00:00","Italy","Piemonte",0,2,0,0,0,3,141
"2020-02-25T18:00:00","Italy","Puglia",0,0,0,0,0,0,0
"2020-02-25T18:00:00","Italy","Sardegna",0,0,0,0,0,0,1
"2020-02-25T18:00:00","Italy","Sicilia",0,1,3,0,0,3,5
"2020-02-25T18:00:00","Italy","Toscana",0,2,2,0,0,2,296
"2020-02-25T18:00:00","Italy","P.A. Trento",0,0,0,0,0,0,3
"2020-02-25T18:00:00","Italy","Umbria",0,0,0,0,0,0,8
"2020-02-25T18:00:00","Italy","Valle d'Aosta",0,0,0,0,0,0,7
"2020-02-25T18:00:00","Italy","Veneto",7,19,10,0,1,43,3780
"2020-02-26T18:00:00","Italy","Abruzzo",0,0,0,0,0,0,13
"2020-02-26T18:00:00","Italy","Basilicata",0,0,0,0,0,0,0
"2020-02-26T18:00:00","Italy","P.A. Bolzano",0,1,0,0,0,1,1
"2020-02-26T18:00:00","Italy","Calabria",0,0,0,0,0,0,3
"2020-02-26T18:00:00","Italy","Campania",0,0,0,0,0,0,10
"2020-02-26T18:00:00","Italy","Emilia-Romagna",3,23,21,0,1,47,577
"2020-02-26T18:00:00","Italy","Friuli Venezia Giulia",0,0,0,0,0,0,114
"2020-02-26T18:00:00","Italy","Lazio",0,0,0,3,0,3,124
"2020-02-26T18:00:00","Italy","Liguria",0,6,10,0,0,11,66
"2020-02-26T18:00:00","Italy","Lombardia",25,104,18,0,9,258,3208
"2020-02-26T18:00:00","Italy","Marche",0,1,1,0,0,1,28
"2020-02-26T18:00:00","Italy","Molise",0,0,0,0,0,0,0
"2020-02-26T18:00:00","Italy","Piemonte",0,2,0,0,0,3,156
"2020-02-26T18:00:00","Italy","Puglia",0,0,0,0,0,0,0
